,ENVA_Open,ENVA_High,ENVA_Low,ENVA_Close,ENVA_Adj Close,ENVA_Volume,ENVA_Dividend Amount,ENVA_Split Coefficient
2017-07-10,15.1,15.4,15.05,15.2,15.2,183107,0.0,1.0
2017-07-07,15.1,15.15,14.8,15.15,15.15,124569,0.0,1.0
2017-07-06,15.05,15.2,14.875,15.0,15.0,155169,0.0,1.0
2017-07-05,15.05,15.3,14.85,15.15,15.15,219691,0.0,1.0
2017-07-03,14.95,15.1,14.875,15.05,15.05,150677,0.0,1.0
2017-06-30,15.1,15.1,14.8,14.85,14.85,128404,0.0,1.0
2017-06-29,15.05,15.1,14.7,15.0,15.0,155261,0.0,1.0
2017-06-28,15.3,15.4,14.9,14.95,14.95,207031,0.0,1.0
2017-06-27,15.15,15.4,14.8,15.35,15.35,395941,0.0,1.0
2017-06-26,14.4,15.15,14.35,15.1,15.1,234920,0.0,1.0
2017-06-23,14.15,14.4,14.0,14.35,14.35,787942,0.0,1.0
2017-06-22,14.2,14.35,14.1,14.15,14.15,165092,0.0,1.0
2017-06-21,14.45,14.6,14.1,14.15,14.15,129350,0.0,1.0
2017-06-20,14.65,14.75,14.35,14.4,14.4,73874,0.0,1.0
2017-06-19,14.7,14.75,14.45,14.75,14.75,196337,0.0,1.0
2017-06-16,14.55,14.8,14.425,14.55,14.55,227419,0.0,1.0
2017-06-15,14.4,14.95,14.4,14.7,14.7,201330,0.0,1.0
2017-06-14,15.0,15.0,14.45,14.6,14.6,385933,0.0,1.0
2017-06-13,15.2,15.2,14.75,15.0,15.0,224042,0.0,1.0
2017-06-12,14.95,15.45,14.8,15.05,15.05,279309,0.0,1.0
2017-06-09,14.75,15.25,14.7,15.05,15.05,229566,0.0,1.0
2017-06-08,14.4,14.8,14.375,14.7,14.7,285197,0.0,1.0
2017-06-07,14.0,14.45,14.0,14.4,14.4,153918,0.0,1.0
2017-06-06,13.9,14.1,13.75,14.0,14.0,338314,0.0,1.0
2017-06-05,13.7,14.35,13.7,14.0,14.0,223630,0.0,1.0
2017-06-02,13.5,13.975,13.5,13.75,13.75,295466,0.0,1.0
2017-06-01,13.3,13.675,13.3,13.55,13.55,231658,0.0,1.0
2017-05-31,13.3,13.35,13.1,13.3,13.3,325150,0.0,1.0
2017-05-30,13.35,13.45,13.05,13.25,13.25,163703,0.0,1.0
2017-05-26,13.5,13.55,13.4,13.4,13.4,120432,0.0,1.0
2017-05-25,13.5,13.65,13.4,13.55,13.55,192217,0.0,1.0
2017-05-24,13.5,13.675,13.3,13.4,13.4,222233,0.0,1.0
2017-05-23,13.3,13.5,13.05,13.4,13.4,226536,0.0,1.0
2017-05-22,13.5,13.5,13.2,13.25,13.25,188938,0.0,1.0
2017-05-19,13.5,13.75,13.35,13.35,13.35,136352,0.0,1.0
2017-05-18,13.4,13.65,13.35,13.5,13.5,260596,0.0,1.0
2017-05-17,14.1,14.1,13.3,13.45,13.45,309659,0.0,1.0
2017-05-16,14.2,14.25,13.9,14.1,14.1,161974,0.0,1.0
2017-05-15,14.1,14.25,13.9,14.1,14.1,136576,0.0,1.0
2017-05-12,14.25,14.25,13.85,13.95,13.95,207569,0.0,1.0
2017-05-11,14.4,14.55,14.2,14.4,14.4,171644,0.0,1.0
2017-05-10,14.55,14.6,14.3,14.4,14.4,169042,0.0,1.0
2017-05-09,14.25,14.9,14.25,14.55,14.55,262482,0.0,1.0
2017-05-08,14.15,14.35,13.925,14.2,14.2,180358,0.0,1.0
2017-05-05,14.2,14.3,13.95,14.05,14.05,195151,0.0,1.0
2017-05-04,14.7,14.7,14.05,14.1,14.1,193082,0.0,1.0
2017-05-03,14.6,14.8,14.425,14.55,14.55,157005,0.0,1.0
2017-05-02,14.75,14.95,14.65,14.75,14.75,235396,0.0,1.0
2017-05-01,14.3,15.0,14.25,14.75,14.75,568246,0.0,1.0
2017-04-28,15.0,15.5,14.05,14.2,14.2,659054,0.0,1.0
2017-04-27,14.75,14.75,14.35,14.5,14.5,240281,0.0,1.0
2017-04-26,14.45,14.75,14.35,14.65,14.65,221577,0.0,1.0
2017-04-25,14.4,14.5,14.25,14.4,14.4,208861,0.0,1.0
2017-04-24,14.2,14.5,14.15,14.25,14.25,175832,0.0,1.0
2017-04-21,13.8,14.0,13.8,13.9,13.9,232577,0.0,1.0
2017-04-20,13.8,14.0,13.7,13.8,13.8,388175,0.0,1.0
2017-04-19,13.75,13.95,13.6,13.65,13.65,160196,0.0,1.0
2017-04-18,13.65,13.8,13.425,13.65,13.65,130083,0.0,1.0
2017-04-17,13.5,13.8,13.45,13.75,13.75,135422,0.0,1.0
2017-04-13,13.5,13.625,13.35,13.5,13.5,258131,0.0,1.0
2017-04-12,13.95,14.1,13.45,13.55,13.55,140142,0.0,1.0
2017-04-11,13.2,14.05,13.0,14.0,14.0,448864,0.0,1.0
2017-04-10,13.85,14.15,13.2,13.25,13.25,276016,0.0,1.0
2017-04-07,13.7,13.925,13.6,13.9,13.9,203031,0.0,1.0
2017-04-06,13.65,14.1,13.45,13.9,13.9,245519,0.0,1.0
2017-04-05,14.45,14.55,13.4,13.6,13.6,480547,0.0,1.0
2017-04-04,14.35,14.5,14.2,14.3,14.3,184863,0.0,1.0
2017-04-03,14.8,14.8,14.2,14.35,14.35,152124,0.0,1.0
2017-03-31,14.7,14.95,14.45,14.85,14.85,367178,0.0,1.0
2017-03-30,14.05,14.8,14.05,14.75,14.75,226897,0.0,1.0
2017-03-29,14.1,14.2,13.85,14.0,14.0,213569,0.0,1.0
2017-03-28,13.9,14.25,13.8,14.15,14.15,146262,0.0,1.0
2017-03-27,13.7,14.0,13.5,13.95,13.95,110088,0.0,1.0
2017-03-24,13.9,14.175,13.75,13.75,13.75,219279,0.0,1.0
2017-03-23,13.4,13.9,13.3,13.85,13.85,172405,0.0,1.0
2017-03-22,13.6,13.75,13.3,13.4,13.4,241745,0.0,1.0
2017-03-21,14.5,14.5,13.55,13.7,13.7,392693,0.0,1.0
2017-03-20,14.25,14.4,14.05,14.3,14.3,166668,0.0,1.0
2017-03-17,14.55,14.6,14.2,14.2,14.2,368432,0.0,1.0
2017-03-16,14.2,14.55,14.2,14.5,14.5,174159,0.0,1.0
2017-03-15,14.1,14.25,13.8,14.2,14.2,231829,0.0,1.0
2017-03-14,13.4,14.3,13.4,14.0,14.0,530940,0.0,1.0
2017-03-13,13.5,13.75,13.45,13.5,13.5,340906,0.0,1.0
2017-03-10,14.15,14.2,13.5,13.55,13.55,446267,0.0,1.0
2017-03-09,13.55,13.65,13.45,13.55,13.55,268307,0.0,1.0
2017-03-08,13.65,13.8,13.5,13.5,13.5,305407,0.0,1.0
2017-03-07,13.5,13.75,13.35,13.55,13.55,185177,0.0,1.0
2017-03-06,13.65,13.75,13.45,13.5,13.5,198367,0.0,1.0
2017-03-03,13.95,14.2,13.65,13.8,13.8,384795,0.0,1.0
2017-03-02,14.2,14.25,13.95,14.0,14.0,204041,0.0,1.0
2017-03-01,14.6,14.65,14.05,14.2,14.2,313396,0.0,1.0
2017-02-28,14.6,14.675,14.1,14.35,14.35,358283,0.0,1.0
2017-02-27,14.6,14.775,14.6,14.6,14.6,376737,0.0,1.0
2017-02-24,14.65,14.8,14.55,14.6,14.6,132683,0.0,1.0
2017-02-23,14.7,14.85,14.55,14.8,14.8,228344,0.0,1.0
2017-02-22,14.65,14.8,14.6,14.75,14.75,131729,0.0,1.0
2017-02-21,14.8,14.95,14.55,14.7,14.7,174201,0.0,1.0
2017-02-17,14.7,14.9,14.6,14.8,14.8,205081,0.0,1.0
2017-02-16,14.8,14.85,14.6,14.8,14.8,366089,0.0,1.0
2017-02-15,14.85,14.9,14.65,14.85,14.85,250558,0.0,1.0
2017-02-14,14.65,14.975,14.55,14.8,14.8,402382,0.0,1.0
2017-02-13,14.75,15.0,14.65,14.75,14.75,401904,0.0,1.0
2017-02-10,14.35,14.85,14.3,14.75,14.75,290691,0.0,1.0
2017-02-09,14.1,14.45,13.95,14.35,14.35,495735,0.0,1.0
2017-02-08,14.4,14.4,14.0,14.1,14.1,301151,0.0,1.0
2017-02-07,14.45,14.55,14.075,14.45,14.45,407122,0.0,1.0
2017-02-06,15.05,15.275,14.05,14.3,14.3,450125,0.0,1.0
2017-02-03,13.85,15.4,13.4,15.05,15.05,700228,0.0,1.0
2017-02-02,14.1,14.1,13.8,13.95,13.95,257011,0.0,1.0
2017-02-01,14.2,14.4,13.8,14.1,14.1,234674,0.0,1.0
2017-01-31,13.9,14.25,13.725,14.1,14.1,408761,0.0,1.0
2017-01-30,13.9,14.05,13.7,13.9,13.9,300929,0.0,1.0
2017-01-27,13.85,14.2,13.7688,13.95,13.95,294715,0.0,1.0
2017-01-26,14.3,14.65,13.9,13.9,13.9,210536,0.0,1.0
2017-01-25,14.15,14.445,14.0,14.25,14.25,115804,0.0,1.0
2017-01-24,13.95,14.25,13.95,13.95,13.95,303231,0.0,1.0
2017-01-23,14.0,14.275,13.8,13.9,13.9,308624,0.0,1.0
2017-01-20,13.85,14.0,13.8,14.0,14.0,243791,0.0,1.0
2017-01-19,13.9,13.95,13.75,13.9,13.9,150035,0.0,1.0
2017-01-18,13.85,14.0,13.65,13.95,13.95,208000,0.0,1.0
2017-01-17,14.2,14.25,13.7,13.8,13.8,402732,0.0,1.0
2017-01-13,14.0,14.4,13.95,14.35,14.35,233475,0.0,1.0
2017-01-12,13.95,14.05,13.65,13.9,13.9,364107,0.0,1.0
2017-01-11,13.9,13.9,13.65,13.8,13.8,217485,0.0,1.0
2017-01-10,13.7,13.85,13.3,13.85,13.85,205728,0.0,1.0
2017-01-09,13.8,14.05,13.575,13.65,13.65,484465,0.0,1.0
2017-01-06,13.7,13.85,13.6,13.8,13.8,303782,0.0,1.0
2017-01-05,13.75,13.9,13.55,13.75,13.75,273344,0.0,1.0
2017-01-04,13.25,13.85,13.1,13.85,13.85,370514,0.0,1.0
2017-01-03,12.75,13.25,12.55,13.25,13.25,298229,0.0,1.0
2016-12-30,12.65,12.8,12.55,12.55,12.55,99375,0.0,1.0
2016-12-29,12.85,12.95,12.5,12.7,12.7,121546,0.0,1.0
2016-12-28,12.95,13.05,12.6,12.8,12.8,146164,0.0,1.0
2016-12-27,12.95,13.1,12.8,12.9,12.9,195692,0.0,1.0
2016-12-23,12.8,13.15,12.7,12.85,12.85,176558,0.0,1.0
2016-12-22,12.65,13.075,12.5,12.75,12.75,183680,0.0,1.0
2016-12-21,12.7,12.85,12.65,12.65,12.65,204347,0.0,1.0
2016-12-20,12.15,12.75,12.15,12.7,12.7,279618,0.0,1.0
2016-12-19,12.25,12.45,12.0,12.05,12.05,275227,0.0,1.0
2016-12-16,12.5,12.75,12.1,12.1,12.1,833518,0.0,1.0
2016-12-15,12.6,12.9,12.45,12.5,12.5,255511,0.0,1.0
2016-12-14,12.7,12.9,12.375,12.6,12.6,306129,0.0,1.0
2016-12-13,13.0,13.3,12.65,12.65,12.65,353865,0.0,1.0
2016-12-12,13.6,13.65,12.7,12.75,12.75,256582,0.0,1.0
2016-12-09,13.45,13.75,13.2,13.55,13.55,341356,0.0,1.0
2016-12-08,12.85,13.9,12.85,13.6,13.6,424278,0.0,1.0
2016-12-07,12.0,12.95,11.95,12.75,12.75,403625,0.0,1.0
2016-12-06,11.75,12.05,11.65,12.0,12.0,790607,0.0,1.0
2016-12-05,11.5,11.85,11.35,11.6,11.6,345332,0.0,1.0
2016-12-02,11.5,11.6,11.4,11.55,11.55,262946,0.0,1.0
2016-12-01,11.75,11.8,11.5,11.6,11.6,380572,0.0,1.0
2016-11-30,11.75,11.85,11.6,11.65,11.65,294517,0.0,1.0
2016-11-29,11.75,11.85,11.5,11.6,11.6,389662,0.0,1.0
2016-11-28,11.8,11.9,11.7,11.8,11.8,190527,0.0,1.0
2016-11-25,11.95,12.05,11.65,11.85,11.85,189989,0.0,1.0
2016-11-23,11.9,12.05,11.8,11.9,11.9,304694,0.0,1.0
2016-11-22,11.85,12.1,11.75,11.9,11.9,328096,0.0,1.0
2016-11-21,11.6,11.9,11.55,11.75,11.75,301604,0.0,1.0
2016-11-18,11.6,11.75,11.4,11.6,11.6,313900,0.0,1.0
2016-11-17,11.75,11.825,11.55,11.6,11.6,363252,0.0,1.0
2016-11-16,11.55,11.7,11.5,11.55,11.55,471204,0.0,1.0
2016-11-15,11.25,11.85,10.905,11.6,11.6,475317,0.0,1.0
2016-11-14,10.2,11.55,10.2,11.5,11.5,838626,0.0,1.0
2016-11-11,9.75,10.3,9.745,9.95,9.95,1430955,0.0,1.0
2016-11-10,9.45,10.1,9.3,9.65,9.65,1275360,0.0,1.0
2016-11-09,9.35,9.9,9.125,9.2,9.2,847494,0.0,1.0
2016-11-08,8.95,8.95,8.8,8.8,8.8,223954,0.0,1.0
2016-11-07,8.95,9.1,8.8,8.9,8.9,530736,0.0,1.0
2016-11-04,8.95,8.9767,8.75,8.8,8.8,113332,0.0,1.0
2016-11-03,9.05,9.05,8.8,8.85,8.85,117824,0.0,1.0
2016-11-02,9.25,9.25,8.8,8.85,8.85,225362,0.0,1.0
2016-11-01,9.3,9.4,9.05,9.2,9.2,151953,0.0,1.0
2016-10-31,9.45,9.825,9.25,9.4,9.4,176390,0.0,1.0
2016-10-28,9.15,9.45,8.9,9.45,9.45,842988,0.0,1.0
2016-10-27,8.9,9.15,8.9,9.1,9.1,284750,0.0,1.0
2016-10-26,9.05,9.25,8.85,8.9,8.9,68988,0.0,1.0
2016-10-25,9.2,9.35,9.05,9.15,9.15,180119,0.0,1.0
2016-10-24,9.25,9.3,8.9,9.2,9.2,103262,0.0,1.0
2016-10-21,9.15,9.35,9.05,9.15,9.15,89809,0.0,1.0
2016-10-20,9.3,9.55,9.3,9.35,9.35,105778,0.0,1.0
2016-10-19,8.85,9.3,8.85,9.2,9.2,142203,0.0,1.0
2016-10-18,9.15,9.15,8.675,8.85,8.85,150669,0.0,1.0
2016-10-17,8.8,8.95,8.7,8.95,8.95,143447,0.0,1.0
2016-10-14,9.05,9.25,8.775,8.85,8.85,94797,0.0,1.0
2016-10-13,9.25,9.25,9.0,9.05,9.05,67619,0.0,1.0
2016-10-12,9.35,9.5,9.1,9.25,9.25,154599,0.0,1.0
2016-10-11,9.45,9.45,9.15,9.35,9.35,158909,0.0,1.0
2016-10-10,9.35,9.65,9.3,9.4,9.4,84543,0.0,1.0
2016-10-07,9.4,9.48,9.23,9.33,9.33,130067,0.0,1.0
2016-10-06,9.54,9.7,9.21,9.4,9.4,211167,0.0,1.0
2016-10-05,9.53,9.63,9.44,9.58,9.58,102402,0.0,1.0
2016-10-04,9.64,9.75,9.47,9.49,9.49,93429,0.0,1.0
2016-10-03,9.62,9.89,9.43,9.59,9.59,115604,0.0,1.0
2016-09-30,9.7,9.82,9.6,9.68,9.68,141818,0.0,1.0
2016-09-29,9.84,10.02,9.58,9.59,9.59,157673,0.0,1.0
2016-09-28,9.57,9.85,9.51,9.79,9.79,121379,0.0,1.0
2016-09-27,9.41,9.65,9.345,9.58,9.58,122602,0.0,1.0
2016-09-26,9.48,9.57,9.34,9.43,9.43,90322,0.0,1.0
2016-09-23,9.69,9.82,9.58,9.59,9.59,166794,0.0,1.0
2016-09-22,9.61,9.81,9.54,9.72,9.72,246069,0.0,1.0
2016-09-21,9.58,9.67,9.36,9.53,9.53,128428,0.0,1.0
2016-09-20,9.67,9.67,9.28,9.53,9.53,144169,0.0,1.0
2016-09-19,9.22,9.66,9.13,9.59,9.59,210267,0.0,1.0
2016-09-16,9.26,9.36,9.055,9.1,9.1,618465,0.0,1.0
2016-09-15,9.1,9.35,8.94,9.28,9.28,136505,0.0,1.0
2016-09-14,9.14,9.2,8.85,9.09,9.09,198986,0.0,1.0
2016-09-13,9.19,9.27,8.99,9.17,9.17,206080,0.0,1.0
2016-09-12,8.84,9.09,8.8,9.06,9.06,158320,0.0,1.0
2016-09-09,9.26,9.37,8.93,8.96,8.96,134941,0.0,1.0
2016-09-08,9.53,9.56,9.29,9.39,9.39,131085,0.0,1.0
2016-09-07,9.67,9.72,9.36,9.53,9.53,186309,0.0,1.0
2016-09-06,10.25,10.3,9.43,9.66,9.66,284303,0.0,1.0
2016-09-02,10.23,10.34,10.03,10.33,10.33,139471,0.0,1.0
2016-09-01,10.18,10.4404,9.9,10.16,10.16,226973,0.0,1.0
2016-08-31,9.61,9.74,9.54,9.59,9.59,114147,0.0,1.0
2016-08-30,9.55,9.75,9.5,9.6,9.6,85261,0.0,1.0
2016-08-29,9.22,9.66,9.16,9.64,9.64,145563,0.0,1.0
2016-08-26,9.39,9.46,9.09,9.23,9.23,140694,0.0,1.0
2016-08-25,9.2,9.37,9.11,9.37,9.37,78450,0.0,1.0
2016-08-24,9.43,9.49,9.05,9.21,9.21,88594,0.0,1.0
2016-08-23,9.44,9.63,9.4,9.42,9.42,85439,0.0,1.0
2016-08-22,9.12,9.48,9.05,9.39,9.39,246252,0.0,1.0
2016-08-19,9.24,9.24,9.05,9.2,9.2,49144,0.0,1.0
2016-08-18,9.4,9.46,9.19,9.29,9.29,59668,0.0,1.0
2016-08-17,9.35,9.47,9.22,9.43,9.43,255499,0.0,1.0
2016-08-16,9.26,9.4799,9.26,9.39,9.39,76230,0.0,1.0
2016-08-15,9.33,9.48,9.26,9.28,9.28,80799,0.0,1.0
2016-08-12,9.4,9.45,9.02,9.26,9.26,86032,0.0,1.0
2016-08-11,9.25,9.44,9.04,9.37,9.37,92349,0.0,1.0
2016-08-10,9.3,9.37,9.033,9.2,9.2,133878,0.0,1.0
2016-08-09,9.51,9.67,9.2,9.27,9.27,111427,0.0,1.0
2016-08-08,9.25,9.69,9.25,9.51,9.51,136030,0.0,1.0
2016-08-05,9.19,9.34,9.046,9.15,9.15,205299,0.0,1.0
2016-08-04,9.28,9.38,9.025,9.11,9.11,132702,0.0,1.0
2016-08-03,9.01,9.28,8.92,9.24,9.24,173232,0.0,1.0
2016-08-02,9.14,9.26,8.85,9.02,9.02,181355,0.0,1.0
2016-08-01,9.07,9.44,9.0,9.1,9.1,459756,0.0,1.0
2016-07-29,8.65,9.17,8.6,9.09,9.09,830582,0.0,1.0
2016-07-28,8.27,8.39,7.77,7.86,7.86,244948,0.0,1.0
2016-07-27,8.06,8.31,8.04,8.27,8.27,108231,0.0,1.0
2016-07-26,7.99,8.1,7.85,8.03,8.03,61661,0.0,1.0
2016-07-25,8.19,8.2078,7.78,7.98,7.98,111880,0.0,1.0
2016-07-22,8.15,8.33,8.02,8.25,8.25,92161,0.0,1.0
2016-07-21,8.15,8.38,8.15,8.16,8.16,85612,0.0,1.0
2016-07-20,8.34,8.35,8.08,8.19,8.19,137853,0.0,1.0
2016-07-19,8.19,8.41,8.06,8.33,8.33,185222,0.0,1.0
2016-07-18,8.32,8.45,8.05,8.25,8.25,177223,0.0,1.0
2016-07-15,8.34,8.44,8.01,8.4,8.4,135192,0.0,1.0
2016-07-14,8.2,8.37,8.15,8.26,8.26,259695,0.0,1.0
2016-07-13,8.01,8.14,7.79,8.13,8.13,252668,0.0,1.0
2016-07-12,7.52,8.23,7.5,7.97,7.97,340157,0.0,1.0
2016-07-11,7.28,7.43,7.22,7.43,7.43,247648,0.0,1.0
2016-07-08,6.84,7.39,6.84,7.25,7.25,223852,0.0,1.0
2016-07-07,6.63,6.9,6.53,6.76,6.76,204021,0.0,1.0
2016-07-06,6.67,6.88,6.53,6.62,6.62,256391,0.0,1.0
2016-07-05,7.23,7.29,6.47,6.72,6.72,253939,0.0,1.0
2016-07-01,7.37,7.5,7.28,7.39,7.39,150871,0.0,1.0
2016-06-30,7.14,7.37,6.94,7.36,7.36,433202,0.0,1.0
2016-06-29,6.92,7.2,6.75,7.19,7.19,155334,0.0,1.0
2016-06-28,6.89,7.09,6.72,6.78,6.78,258334,0.0,1.0
2016-06-27,6.97,7.29,6.63,6.94,6.94,376240,0.0,1.0
2016-06-24,7.15,7.23,6.87,7.17,7.17,988744,0.0,1.0
2016-06-23,7.33,7.42,7.19,7.38,7.38,143063,0.0,1.0
2016-06-22,7.17,7.37,6.98,7.03,7.03,124928,0.0,1.0
2016-06-21,7.19,7.26,6.94,7.2,7.2,197685,0.0,1.0
2016-06-20,7.16,7.3,7.02,7.18,7.18,185204,0.0,1.0
2016-06-17,7.18,7.57,7.12,7.23,7.23,238937,0.0,1.0
2016-06-16,7.0,7.19,6.91,7.16,7.16,166665,0.0,1.0
2016-06-15,7.1,7.42,7.0,7.03,7.03,151263,0.0,1.0
2016-06-14,7.5,7.53,7.03,7.15,7.15,325176,0.0,1.0
2016-06-13,7.48,7.74,7.46,7.51,7.51,174678,0.0,1.0
2016-06-10,7.48,7.57,7.47,7.52,7.52,173684,0.0,1.0
2016-06-09,7.68,7.68,7.48,7.54,7.54,217446,0.0,1.0
2016-06-08,7.59,7.75,7.54,7.73,7.73,283184,0.0,1.0
2016-06-07,7.27,7.73,7.26,7.51,7.51,346365,0.0,1.0
2016-06-06,7.32,8.015,7.17,8.0,8.0,431407,0.0,1.0
2016-06-03,7.13,7.42,6.94,7.38,7.38,281886,0.0,1.0
2016-06-02,7.15,7.23,6.92,7.05,7.05,251208,0.0,1.0
2016-06-01,7.2,7.38,6.92,7.24,7.24,479138,0.0,1.0
2016-05-31,7.3,7.4317,7.24,7.28,7.28,650874,0.0,1.0
2016-05-27,7.32,7.55,7.32,7.5,7.5,185177,0.0,1.0
2016-05-26,7.63,7.72,7.28,7.32,7.32,283448,0.0,1.0
2016-05-25,7.6,7.77,7.54,7.72,7.72,225378,0.0,1.0
2016-05-24,7.57,7.64,7.48,7.56,7.56,182509,0.0,1.0
2016-05-23,7.58,7.7,7.31,7.5,7.5,226788,0.0,1.0
2016-05-20,7.01,7.59,7.01,7.59,7.59,279054,0.0,1.0
2016-05-19,7.01,7.13,6.92,6.95,6.95,352447,0.0,1.0
2016-05-18,7.07,7.17,7.01,7.08,7.08,214272,0.0,1.0
2016-05-17,7.07,7.34,7.04,7.15,7.15,223989,0.0,1.0
2016-05-16,7.36,7.49,7.02,7.04,7.04,280087,0.0,1.0
2016-05-13,7.32,7.6,7.12,7.23,7.23,305972,0.0,1.0
2016-05-12,7.76,7.99,7.25,7.34,7.34,278683,0.0,1.0
2016-05-11,8.19,8.19,7.7,7.72,7.72,196797,0.0,1.0
2016-05-10,8.17,8.46,8.15,8.33,8.33,144639,0.0,1.0
2016-05-09,8.21,8.59,8.0,8.08,8.08,215076,0.0,1.0
2016-05-06,8.02,8.18,7.9271,8.18,8.18,234458,0.0,1.0
2016-05-05,8.33,8.33,7.83,8.02,8.02,103338,0.0,1.0
2016-05-04,8.12,8.31,7.992,8.22,8.22,159524,0.0,1.0
2016-05-03,8.25,8.25,7.77,8.15,8.15,147587,0.0,1.0
2016-05-02,8.8,8.835,8.24,8.36,8.36,249901,0.0,1.0
2016-04-29,7.72,9.54,7.59,8.81,8.81,743198,0.0,1.0
2016-04-28,6.83,7.31,6.83,7.27,7.27,230759,0.0,1.0
2016-04-27,6.73,7.3,6.65,6.96,6.96,274068,0.0,1.0
2016-04-26,6.37,6.83,6.26,6.77,6.77,134653,0.0,1.0
2016-04-25,6.43,6.46,6.125,6.36,6.36,209402,0.0,1.0
2016-04-22,6.28,6.5,6.28,6.48,6.48,125923,0.0,1.0
2016-04-21,6.29,6.39,6.214,6.28,6.28,132028,0.0,1.0
2016-04-20,6.18,6.4,6.18,6.32,6.32,81172,0.0,1.0
2016-04-19,6.18,6.26,6.015,6.18,6.18,110828,0.0,1.0
2016-04-18,6.05,6.19,5.98,6.15,6.15,129650,0.0,1.0
2016-04-15,6.03,6.185,5.9801,6.1,6.1,87987,0.0,1.0
2016-04-14,6.21,6.24,6.04,6.05,6.05,112600,0.0,1.0
2016-04-13,5.7,6.215,5.7,6.17,6.17,170777,0.0,1.0
2016-04-12,5.79,5.92,5.64,5.68,5.68,200781,0.0,1.0
2016-04-11,5.78,5.91,5.61,5.77,5.77,120425,0.0,1.0
2016-04-08,5.9,6.1,5.6,5.75,5.75,139509,0.0,1.0
2016-04-07,5.73,5.87,5.7,5.78,5.78,794270,0.0,1.0
2016-04-06,5.52,5.81,5.43,5.8,5.8,135681,0.0,1.0
2016-04-05,5.6,5.7,5.5,5.53,5.53,248257,0.0,1.0
2016-04-04,6.0,6.02,5.64,5.69,5.69,142954,0.0,1.0
2016-04-01,6.3,6.3,5.92,6.04,6.04,126713,0.0,1.0
2016-03-31,6.2,6.36,6.08,6.31,6.31,106690,0.0,1.0
2016-03-30,6.24,6.45,6.12,6.2,6.2,179741,0.0,1.0
2016-03-29,5.93,6.18,5.73,6.15,6.15,244020,0.0,1.0
2016-03-28,6.21,6.22,5.9,6.04,6.04,123203,0.0,1.0
2016-03-24,5.98,6.23,5.88,6.23,6.23,82421,0.0,1.0
2016-03-23,6.67,6.67,6.03,6.1,6.1,118278,0.0,1.0
2016-03-22,6.75,6.87,6.64,6.71,6.71,107931,0.0,1.0
2016-03-21,6.67,7.13,6.67,6.91,6.91,218321,0.0,1.0
2016-03-18,6.36,6.78,6.23,6.66,6.66,651774,0.0,1.0
2016-03-17,6.08,6.5,6.02,6.32,6.32,248153,0.0,1.0
2016-03-16,5.99,6.24,5.92,6.06,6.06,99877,0.0,1.0
2016-03-15,6.18,6.18,5.9,6.06,6.06,118841,0.0,1.0
2016-03-14,6.23,6.4,6.145,6.28,6.28,82587,0.0,1.0
2016-03-11,6.13,6.35,6.08,6.31,6.31,151682,0.0,1.0
2016-03-10,6.22,6.26,5.88,6.04,6.04,101494,0.0,1.0
2016-03-09,6.35,6.37,6.1,6.21,6.21,158234,0.0,1.0
2016-03-08,6.57,6.57,6.08,6.3,6.3,148671,0.0,1.0
2016-03-07,6.39,6.8,6.31,6.63,6.63,203385,0.0,1.0
2016-03-04,6.52,6.61,6.335,6.45,6.45,153537,0.0,1.0
2016-03-03,6.17,6.56,6.11,6.53,6.53,182137,0.0,1.0
2016-03-02,5.94,6.28,5.94,6.17,6.17,177038,0.0,1.0
2016-03-01,5.8,6.03,5.67,5.94,5.94,108285,0.0,1.0
2016-02-29,5.55,6.0899,5.54,5.78,5.78,245744,0.0,1.0
2016-02-26,5.77,5.82,5.5,5.54,5.54,306763,0.0,1.0
2016-02-25,5.98,5.99,5.55,5.64,5.64,151331,0.0,1.0
2016-02-24,5.63,5.97,5.56,5.92,5.92,130177,0.0,1.0
2016-02-23,6.2,6.31,5.71,5.73,5.73,86028,0.0,1.0
2016-02-22,6.45,6.551,6.26,6.29,6.29,102189,0.0,1.0
2016-02-19,6.5,6.5,6.19,6.4,6.4,149365,0.0,1.0
2016-02-18,6.24,6.58,6.13,6.57,6.57,145090,0.0,1.0
2016-02-17,6.15,6.5,6.15,6.25,6.25,176114,0.0,1.0
2016-02-16,6.07,6.3,6.05,6.12,6.12,160495,0.0,1.0
2016-02-12,5.58,6.04,5.58,5.98,5.98,227945,0.0,1.0
2016-02-11,5.51,5.68,5.3,5.5,5.5,217953,0.0,1.0
2016-02-10,5.84,5.87,5.597,5.64,5.64,170250,0.0,1.0
2016-02-09,6.0,6.14,5.66,5.8,5.8,187136,0.0,1.0
2016-02-08,6.33,6.45,5.67,6.18,6.18,277929,0.0,1.0
2016-02-05,5.8,6.86,5.56,6.47,6.47,727560,0.0,1.0
2016-02-04,5.5,5.71,5.35,5.46,5.46,227351,0.0,1.0
2016-02-03,5.28,5.54,5.02,5.48,5.48,185000,0.0,1.0
2016-02-02,5.38,5.41,5.05,5.22,5.22,207031,0.0,1.0
2016-02-01,5.49,5.59,5.28,5.47,5.47,184815,0.0,1.0
2016-01-29,5.49,5.84,5.47,5.57,5.57,314128,0.0,1.0
2016-01-28,5.68,5.68,5.44,5.48,5.48,118272,0.0,1.0
2016-01-27,5.89,6.02,5.56,5.6,5.6,209362,0.0,1.0
