,LGIH_Open,LGIH_High,LGIH_Low,LGIH_Close,LGIH_Adj Close,LGIH_Volume,LGIH_Dividend Amount,LGIH_Split Coefficient
2020-06-04,88.6,89.55,84.31,85.22,85.22,448403,0.0,1.0
2020-06-03,87.61,91.68,87.5,90.66,90.66,366804,0.0,1.0
2020-06-02,85.19,88.15,84.59,86.65,86.65,306071,0.0,1.0
2020-06-01,83.79,87.99,82.9952,83.84,83.84,365496,0.0,1.0
2020-05-29,83.07,84.165,81.21,83.42,83.42,486234,0.0,1.0
2020-05-28,90.0,90.83,82.92,83.81,83.81,441697,0.0,1.0
2020-05-27,87.49,91.54,84.41,88.49,88.49,703472,0.0,1.0
2020-05-26,83.76,85.57,83.05,85.14,85.14,402404,0.0,1.0
2020-05-22,79.78,82.87,78.88,81.88,81.88,241121,0.0,1.0
2020-05-21,79.98,82.41,79.35,79.67,79.67,367672,0.0,1.0
2020-05-20,81.75,83.46,79.84,80.49,80.49,416997,0.0,1.0
2020-05-19,78.12,81.51,75.76,80.1,80.1,461798,0.0,1.0
2020-05-18,77.98,79.06,74.17,78.57,78.57,489751,0.0,1.0
2020-05-15,67.02,71.641,66.64,71.35,71.35,309909,0.0,1.0
2020-05-14,64.33,67.78,63.011,67.17,67.17,565601,0.0,1.0
2020-05-13,69.01,69.3914,64.86,66.67,66.67,495459,0.0,1.0
2020-05-12,72.21,73.145,69.87,69.87,69.87,302447,0.0,1.0
2020-05-11,69.15,72.95,67.37,72.22,72.22,386929,0.0,1.0
2020-05-08,69.3,71.38,68.2511,71.18,71.18,455968,0.0,1.0
2020-05-07,66.83,68.43,65.9,67.74,67.74,464944,0.0,1.0
2020-05-06,67.16,68.2767,63.14,66.67,66.67,581156,0.0,1.0
2020-05-05,67.0,69.48,62.87,63.94,63.94,764689,0.0,1.0
2020-05-04,58.32,62.96,57.38,62.47,62.47,410652,0.0,1.0
2020-05-01,57.04,60.19,56.9,60.08,60.08,404730,0.0,1.0
2020-04-30,61.17,61.98,59.7,60.58,60.58,462362,0.0,1.0
2020-04-29,57.49,63.43,56.52,63.31,63.31,732244,0.0,1.0
2020-04-28,55.0,58.02,54.43,55.43,55.43,747230,0.0,1.0
2020-04-27,49.5,52.75,48.81,52.58,52.58,464747,0.0,1.0
2020-04-24,47.06,49.14,45.86,48.78,48.78,405353,0.0,1.0
2020-04-23,47.51,48.88,45.65,46.43,46.43,348054,0.0,1.0
2020-04-22,49.39,50.67,46.7101,47.05,47.05,459390,0.0,1.0
2020-04-21,46.51,49.055,46.51,48.28,48.28,247076,0.0,1.0
2020-04-20,47.73,50.7,47.12,48.68,48.68,490626,0.0,1.0
2020-04-17,48.55,50.72,48.55,49.65,49.65,454422,0.0,1.0
2020-04-16,45.69,48.22,44.6563,46.21,46.21,394559,0.0,1.0
2020-04-15,47.92,48.2383,43.35,45.26,45.26,573442,0.0,1.0
2020-04-14,48.41,50.7638,48.28,50.39,50.39,413934,0.0,1.0
2020-04-13,54.2,54.73,45.54,46.25,46.25,547285,0.0,1.0
2020-04-09,53.54,57.38,52.65,54.74,54.74,767424,0.0,1.0
2020-04-08,45.75,51.55,45.37,51.04,51.04,486246,0.0,1.0
2020-04-07,44.5,48.6,43.71,44.61,44.61,686146,0.0,1.0
2020-04-06,40.09,43.3115,39.234,41.23,41.23,885847,0.0,1.0
2020-04-03,35.5,35.88,33.0,34.39,34.39,624765,0.0,1.0
2020-04-02,38.07,39.42,34.71,35.23,35.23,821584,0.0,1.0
2020-04-01,42.59,43.39,38.22,38.6,38.6,685248,0.0,1.0
2020-03-31,44.83,46.48,42.92,45.15,45.15,458427,0.0,1.0
2020-03-30,48.2,48.2,43.01,45.19,45.19,474832,0.0,1.0
2020-03-27,48.22,49.4,46.3,47.77,47.77,451839,0.0,1.0
2020-03-26,54.2,54.2,47.62,51.2,51.2,627669,0.0,1.0
2020-03-25,49.95,55.12,48.55,53.12,53.12,678806,0.0,1.0
2020-03-24,48.47,52.8,47.26,49.27,49.27,655428,0.0,1.0
2020-03-23,43.77,45.9591,41.0084,44.44,44.44,741941,0.0,1.0
2020-03-20,42.16,46.04,38.72,43.39,43.39,767202,0.0,1.0
2020-03-19,36.76,43.09,34.35,41.21,41.21,598420,0.0,1.0
2020-03-18,38.38,41.545,33.55,36.84,36.84,796038,0.0,1.0
2020-03-17,42.67,44.7,37.525,43.22,43.22,1076883,0.0,1.0
2020-03-16,50.26,52.93,41.99,41.99,41.99,1110246,0.0,1.0
2020-03-13,60.5,60.75,52.35,59.81,59.81,842917,0.0,1.0
2020-03-12,66.44,66.69,57.13,57.66,57.66,612095,0.0,1.0
2020-03-11,72.77,73.79,67.65,68.98,68.98,412335,0.0,1.0
2020-03-10,74.51,75.56,69.0,75.4,75.4,636894,0.0,1.0
2020-03-09,81.9,82.22,71.8,72.09,72.09,782492,0.0,1.0
2020-03-06,86.82,87.95,82.59,85.4,85.4,883565,0.0,1.0
2020-03-05,87.0,91.775,86.9426,88.84,88.84,405932,0.0,1.0
2020-03-04,85.78,88.77,85.114,88.42,88.42,423642,0.0,1.0
2020-03-03,80.87,85.92,80.53,83.8,83.8,386264,0.0,1.0
2020-03-02,77.2,81.76,75.36,80.7,80.7,620535,0.0,1.0
2020-02-28,75.0,78.03,74.0196,75.35,75.35,502511,0.0,1.0
2020-02-27,76.81,79.54,74.12,77.38,77.38,451131,0.0,1.0
2020-02-26,80.87,81.88,77.3,77.53,77.53,568830,0.0,1.0
2020-02-25,92.26,93.36,79.23,79.8,79.8,911127,0.0,1.0
2020-02-24,91.49,94.43,90.8,93.08,93.08,265611,0.0,1.0
2020-02-21,94.95,95.72,93.58,94.12,94.12,230199,0.0,1.0
2020-02-20,93.77,95.17,92.27,95.01,95.01,124705,0.0,1.0
2020-02-19,92.62,94.94,92.62,94.02,94.02,125241,0.0,1.0
2020-02-18,92.25,93.145,91.57,92.33,92.33,206170,0.0,1.0
2020-02-14,91.94,92.23,90.91,92.14,92.14,126329,0.0,1.0
2020-02-13,91.1,93.02,90.92,91.76,91.76,167118,0.0,1.0
2020-02-12,91.69,92.27,90.26,91.36,91.36,181930,0.0,1.0
2020-02-11,90.87,91.6942,90.3201,91.07,91.07,174649,0.0,1.0
2020-02-10,88.79,90.795,88.79,90.64,90.64,204408,0.0,1.0
2020-02-07,87.63,88.8197,87.225,88.58,88.58,198151,0.0,1.0
2020-02-06,87.77,89.9,87.32,87.7,87.7,433452,0.0,1.0
2020-02-05,81.79,87.5,81.07,86.84,86.84,679104,0.0,1.0
2020-02-04,81.63,81.72,80.25,81.45,81.45,183553,0.0,1.0
2020-02-03,80.0,81.51,79.86,80.94,80.94,232657,0.0,1.0
2020-01-31,81.87,82.025,79.07,79.74,79.74,169294,0.0,1.0
2020-01-30,81.82,82.77,81.03,81.64,81.64,170738,0.0,1.0
2020-01-29,82.28,82.99,80.6,81.87,81.87,182762,0.0,1.0
2020-01-28,82.0,83.17,81.25,82.3,82.3,158511,0.0,1.0
2020-01-27,80.89,83.36,80.89,81.4,81.4,243591,0.0,1.0
2020-01-24,83.09,83.68,81.56,82.15,82.15,195180,0.0,1.0
2020-01-23,81.62,83.65,81.5,82.64,82.64,380604,0.0,1.0
2020-01-22,81.25,82.5,80.83,81.66,81.66,209792,0.0,1.0
2020-01-21,79.34,81.15,79.0316,80.97,80.97,220050,0.0,1.0
2020-01-17,79.45,80.226,78.59,78.74,78.74,272162,0.0,1.0
2020-01-16,79.96,80.3,78.53,78.94,78.94,205610,0.0,1.0
2020-01-15,77.18,79.53,76.78,79.41,79.41,290765,0.0,1.0
2020-01-14,76.38,77.765,76.17,76.76,76.76,200117,0.0,1.0
2020-01-13,76.5,77.67,75.8,76.3,76.3,186129,0.0,1.0
2020-01-10,75.19,77.13,74.95,76.3,76.3,199715,0.0,1.0
2020-01-09,76.14,76.86,74.98,75.43,75.43,177151,0.0,1.0
2020-01-08,75.11,77.21,74.78,75.79,75.79,371664,0.0,1.0
2020-01-07,72.59,75.11,71.96,74.77,74.77,383890,0.0,1.0
2020-01-06,70.81,73.05,70.7619,72.28,72.28,232023,0.0,1.0
2020-01-03,69.77,71.28,69.77,71.06,71.06,200993,0.0,1.0
2020-01-02,71.05,71.49,69.86,70.62,70.62,114756,0.0,1.0
2019-12-31,70.18,71.64,70.08,70.65,70.65,150425,0.0,1.0
2019-12-30,70.32,70.62,68.81,70.62,70.62,141401,0.0,1.0
2019-12-27,71.57,71.91,70.22,70.5,70.5,114691,0.0,1.0
2019-12-26,71.31,71.75,70.5,71.3,71.3,184655,0.0,1.0
2019-12-24,69.49,71.33,69.45,71.29,71.29,70280,0.0,1.0
2019-12-23,70.83,71.33,68.65,69.69,69.69,234065,0.0,1.0
2019-12-20,70.09,70.95,69.43,70.83,70.83,929856,0.0,1.0
2019-12-19,69.1,70.29,67.35,70.1,70.1,504555,0.0,1.0
2019-12-18,72.45,72.71,68.87,69.21,69.21,367158,0.0,1.0
2019-12-17,73.4,74.11,71.54,71.86,71.86,221498,0.0,1.0
2019-12-16,73.61,74.63,72.28,72.82,72.82,221955,0.0,1.0
2019-12-13,72.38,73.91,72.38,73.44,73.44,158486,0.0,1.0
2019-12-12,75.03,75.57,72.35,72.38,72.38,184803,0.0,1.0
2019-12-11,74.0,75.21,73.5038,75.13,75.13,137150,0.0,1.0
2019-12-10,74.96,74.96,73.38,73.99,73.99,163270,0.0,1.0
2019-12-09,74.04,75.42,74.04,75.09,75.09,173669,0.0,1.0
2019-12-06,75.48,75.66,73.59,73.98,73.98,210303,0.0,1.0
2019-12-05,72.67,75.29,72.45,74.67,74.67,307922,0.0,1.0
2019-12-04,71.95,73.13,70.84,72.5,72.5,166666,0.0,1.0
2019-12-03,70.63,71.9,70.16,71.5,71.5,286769,0.0,1.0
2019-12-02,72.26,72.26,70.0,70.86,70.86,219060,0.0,1.0
2019-11-29,71.91,72.81,71.7,72.27,72.27,78606,0.0,1.0
2019-11-27,72.4,73.07,71.55,72.08,72.08,154175,0.0,1.0
2019-11-26,70.3,72.2253,70.3,72.06,72.06,189396,0.0,1.0
2019-11-25,69.81,71.29,69.81,70.25,70.25,206789,0.0,1.0
2019-11-22,70.99,71.59,69.13,69.81,69.81,205931,0.0,1.0
2019-11-21,71.2,72.07,70.44,70.81,70.81,258026,0.0,1.0
2019-11-20,70.08,72.1044,69.88,71.18,71.18,301025,0.0,1.0
2019-11-19,70.83,71.41,69.91,70.33,70.33,201444,0.0,1.0
2019-11-18,71.25,72.17,70.57,70.83,70.83,205864,0.0,1.0
2019-11-15,72.0,72.29,71.07,71.19,71.19,176272,0.0,1.0
2019-11-14,71.28,72.16,70.52,71.58,71.58,170125,0.0,1.0
2019-11-13,71.35,72.56,70.865,71.51,71.51,207562,0.0,1.0
2019-11-12,72.0,73.25,69.72,71.43,71.43,222243,0.0,1.0
2019-11-11,70.17,72.07,69.5,71.63,71.63,187497,0.0,1.0
2019-11-08,70.9,71.82,69.35,70.3,70.3,302515,0.0,1.0
2019-11-07,74.43,74.65,70.55,70.92,70.92,431299,0.0,1.0
2019-11-06,72.75,75.33,70.85,74.65,74.65,487087,0.0,1.0
2019-11-05,76.33,76.6,69.41,72.25,72.25,757697,0.0,1.0
2019-11-04,79.52,80.0,74.01,75.51,75.51,650039,0.0,1.0
2019-11-01,78.87,79.94,78.5,79.47,79.47,205485,0.0,1.0
2019-10-31,80.02,80.425,77.031,78.48,78.48,277328,0.0,1.0
2019-10-30,80.37,80.71,75.9,79.9,79.9,424339,0.0,1.0
2019-10-29,80.48,82.22,79.06,79.72,79.72,366641,0.0,1.0
2019-10-28,84.78,85.505,80.38,80.48,80.48,348203,0.0,1.0
2019-10-25,85.21,87.3,84.32,84.5,84.5,208206,0.0,1.0
2019-10-24,84.68,85.45,84.2,85.24,85.24,212816,0.0,1.0
2019-10-23,83.18,84.28,82.01,84.09,84.09,305342,0.0,1.0
2019-10-22,85.64,86.155,83.23,83.26,83.26,333535,0.0,1.0
2019-10-21,88.22,88.81,85.04,85.17,85.17,285087,0.0,1.0
2019-10-18,87.68,88.22,86.7301,87.52,87.52,569725,0.0,1.0
2019-10-17,87.75,88.995,87.55,87.68,87.68,345387,0.0,1.0
2019-10-16,85.96,87.69,85.35,87.62,87.62,353375,0.0,1.0
2019-10-15,84.25,86.33,83.53,86.25,86.25,278199,0.0,1.0
2019-10-14,82.42,84.44,82.12,84.05,84.05,161436,0.0,1.0
2019-10-11,83.5,84.17,82.46,82.51,82.51,286333,0.0,1.0
2019-10-10,83.04,83.75,82.25,82.87,82.87,163439,0.0,1.0
2019-10-09,82.76,83.65,82.25,82.94,82.94,296918,0.0,1.0
2019-10-08,82.34,83.27,81.195,81.39,81.39,261885,0.0,1.0
2019-10-07,83.51,84.82,81.6349,82.6,82.6,373104,0.0,1.0
2019-10-04,82.37,84.69,82.0,83.79,83.79,331669,0.0,1.0
2019-10-03,83.04,84.35,81.81,82.2,82.2,231093,0.0,1.0
2019-10-02,81.94,83.06,80.15,82.82,82.82,221103,0.0,1.0
2019-10-01,83.33,83.95,80.43,82.23,82.23,223689,0.0,1.0
2019-09-30,82.0,84.125,81.54,83.32,83.32,207968,0.0,1.0
2019-09-27,85.5,85.56,81.45,81.79,81.79,294822,0.0,1.0
2019-09-26,86.63,87.19,84.24,84.99,84.99,433811,0.0,1.0
2019-09-25,82.15,82.88,79.965,82.74,82.74,168264,0.0,1.0
2019-09-24,82.58,84.12,81.82,81.87,81.87,248620,0.0,1.0
2019-09-23,80.91,82.82,80.74,82.47,82.47,211490,0.0,1.0
2019-09-20,81.52,81.6,80.86,81.35,81.35,440661,0.0,1.0
2019-09-19,81.89,81.98,80.765,81.25,81.25,169874,0.0,1.0
2019-09-18,81.26,81.9362,79.92,81.19,81.19,203585,0.0,1.0
2019-09-17,79.83,81.52,79.45,81.2,81.2,194446,0.0,1.0
2019-09-16,79.62,80.39,79.29,79.83,79.83,197604,0.0,1.0
2019-09-13,82.9,83.2,79.39,79.84,79.84,289293,0.0,1.0
2019-09-12,79.8,83.055,79.8,82.02,82.02,321854,0.0,1.0
2019-09-11,76.24,79.94,75.76,79.58,79.58,289885,0.0,1.0
2019-09-10,79.64,79.8,76.27,77.41,77.41,267330,0.0,1.0
2019-09-09,82.5,82.54,79.2133,79.9,79.9,271116,0.0,1.0
2019-09-06,83.98,84.48,82.12,82.24,82.24,181224,0.0,1.0
2019-09-05,84.5,85.41,81.7,82.75,82.75,403291,0.0,1.0
2019-09-04,81.55,84.5,81.55,84.37,84.37,332242,0.0,1.0
2019-09-03,81.04,82.19,80.26,81.22,81.22,216855,0.0,1.0
2019-08-30,80.64,81.63,79.6,81.51,81.51,170956,0.0,1.0
2019-08-29,79.39,80.67,79.19,80.0,80.0,114055,0.0,1.0
2019-08-28,78.28,79.65,77.55,78.81,78.81,99214,0.0,1.0
2019-08-27,79.75,79.8408,78.25,78.5,78.5,132568,0.0,1.0
2019-08-26,79.31,80.5,78.2015,79.32,79.32,156098,0.0,1.0
2019-08-23,79.67,81.23,78.56,78.8,78.8,222888,0.0,1.0
2019-08-22,80.53,81.93,78.76,80.1,80.1,169678,0.0,1.0
2019-08-21,78.17,80.6899,77.26,79.96,79.96,300246,0.0,1.0
2019-08-20,79.44,79.44,77.27,77.79,77.79,192563,0.0,1.0
2019-08-19,76.14,79.36,75.801,78.56,78.56,353780,0.0,1.0
2019-08-16,74.92,75.315,74.12,75.18,75.18,121241,0.0,1.0
2019-08-15,75.28,75.62,74.24,74.59,74.59,873836,0.0,1.0
2019-08-14,74.82,75.56,74.2,74.76,74.76,115957,0.0,1.0
2019-08-13,73.7,76.4,73.45,75.76,75.76,206939,0.0,1.0
2019-08-12,75.38,75.38,73.27,73.84,73.84,114271,0.0,1.0
2019-08-09,75.68,75.91,74.91,75.57,75.57,162383,0.0,1.0
2019-08-08,75.32,76.06,74.65,75.99,75.99,289569,0.0,1.0
2019-08-07,74.83,75.63,73.05,74.8,74.8,427813,0.0,1.0
2019-08-06,72.25,77.5,72.03,75.1,75.1,605529,0.0,1.0
2019-08-05,69.13,69.98,67.19,68.19,68.19,286618,0.0,1.0
2019-08-02,71.07,71.155,69.9,70.69,70.69,146000,0.0,1.0
2019-08-01,70.52,73.35,70.37,71.18,71.18,262781,0.0,1.0
2019-07-31,71.55,73.32,70.13,70.29,70.29,259347,0.0,1.0
2019-07-30,70.19,73.42,70.19,71.25,71.25,293636,0.0,1.0
2019-07-29,72.63,72.85,70.09,70.59,70.59,207107,0.0,1.0
2019-07-26,71.73,72.77,70.86,72.48,72.48,198351,0.0,1.0
2019-07-25,69.7,71.66,69.05,71.63,71.63,176188,0.0,1.0
2019-07-24,67.51,69.46,66.59,69.43,69.43,285176,0.0,1.0
2019-07-23,71.0,71.18,67.36,67.76,67.76,326657,0.0,1.0
2019-07-22,72.14,73.35,70.44,70.51,70.51,258858,0.0,1.0
2019-07-19,71.83,73.05,71.495,71.54,71.54,157820,0.0,1.0
2019-07-18,71.57,72.31,71.03,71.85,71.85,206718,0.0,1.0
2019-07-17,74.28,74.58,71.07,71.9,71.9,294758,0.0,1.0
2019-07-16,73.37,75.07,72.65,74.61,74.61,169559,0.0,1.0
2019-07-15,76.5,76.93,73.93,74.07,74.07,158472,0.0,1.0
2019-07-12,73.5,76.25,73.09,75.94,75.94,285339,0.0,1.0
2019-07-11,72.35,73.5,71.21,73.43,73.43,206093,0.0,1.0
2019-07-10,71.43,72.35,70.46,72.35,72.35,254387,0.0,1.0
2019-07-09,71.13,72.17,70.45,70.89,70.89,143156,0.0,1.0
2019-07-08,70.04,71.9,69.41,71.48,71.48,194744,0.0,1.0
2019-07-05,72.38,72.53,69.4,70.13,70.13,202542,0.0,1.0
2019-07-03,73.24,73.59,72.39,73.14,73.14,111891,0.0,1.0
2019-07-02,72.22,73.1,71.71,73.03,73.03,183313,0.0,1.0
2019-07-01,72.43,72.71,70.64,71.96,71.96,206701,0.0,1.0
2019-06-28,70.27,72.8,70.27,71.43,71.43,429644,0.0,1.0
2019-06-27,68.47,70.605,68.26,70.5,70.5,163037,0.0,1.0
2019-06-26,69.1,69.78,67.26,67.79,67.79,171249,0.0,1.0
2019-06-25,71.95,72.4,68.3,68.97,68.97,271635,0.0,1.0
2019-06-24,71.82,72.2,70.86,71.56,71.56,175741,0.0,1.0
2019-06-21,73.29,73.87,71.46,71.68,71.68,252952,0.0,1.0
2019-06-20,72.32,73.89,71.36,73.55,73.55,212155,0.0,1.0
2019-06-19,72.94,73.26,69.96,71.69,71.69,213718,0.0,1.0
2019-06-18,72.83,74.0013,72.45,73.42,73.42,316222,0.0,1.0
2019-06-17,72.89,73.3148,70.56,72.21,72.21,243697,0.0,1.0
2019-06-14,70.91,73.65,70.91,73.1,73.1,255740,0.0,1.0
2019-06-13,70.61,72.0,70.61,71.05,71.05,200882,0.0,1.0
2019-06-12,70.82,71.92,70.21,70.31,70.31,184957,0.0,1.0
2019-06-11,73.52,73.57,68.81,70.79,70.79,368573,0.0,1.0
2019-06-10,74.51,74.99,72.845,73.02,73.02,205170,0.0,1.0
2019-06-07,72.87,74.9,72.6009,74.43,74.43,250149,0.0,1.0
2019-06-06,72.12,75.49,72.1,72.55,72.55,388587,0.0,1.0
2019-06-05,72.0,73.2,71.07,72.05,72.05,256070,0.0,1.0
2019-06-04,70.08,71.82,69.15,71.78,71.78,341807,0.0,1.0
2019-06-03,68.2,70.54,67.66,69.55,69.55,235671,0.0,1.0
2019-05-31,68.13,69.54,67.15,68.2,68.2,272934,0.0,1.0
2019-05-30,68.25,68.9,67.865,68.56,68.56,154077,0.0,1.0
2019-05-29,69.5,69.5,67.63,68.16,68.16,223436,0.0,1.0
2019-05-28,71.31,71.81,69.83,69.89,69.89,204053,0.0,1.0
2019-05-24,69.27,71.41,69.255,71.12,71.12,152737,0.0,1.0
2019-05-23,68.72,70.44,68.38,68.86,68.86,220818,0.0,1.0
2019-05-22,69.0,70.8695,68.72,69.34,69.34,170026,0.0,1.0
2019-05-21,69.17,70.16,68.715,69.75,69.75,132192,0.0,1.0
2019-05-20,69.64,70.58,68.5,68.92,68.92,303628,0.0,1.0
2019-05-17,72.0,72.0,70.03,70.15,70.15,264709,0.0,1.0
2019-05-16,71.12,72.42,71.065,72.19,72.19,392127,0.0,1.0
2019-05-15,69.95,71.315,69.6801,71.06,71.06,193539,0.0,1.0
2019-05-14,69.37,72.89,68.87,70.75,70.75,471057,0.0,1.0
2019-05-13,67.96,69.44,67.51,69.29,69.29,246923,0.0,1.0
2019-05-10,68.9,69.96,68.52,68.97,68.97,312216,0.0,1.0
2019-05-09,66.41,69.572,65.8,69.35,69.35,263974,0.0,1.0
2019-05-08,66.64,68.9,66.07,67.06,67.06,328814,0.0,1.0
2019-05-07,64.95,67.35,61.88,67.08,67.08,993862,0.0,1.0
2019-05-06,70.1,71.5,69.4277,70.92,70.92,356756,0.0,1.0
2019-05-03,70.0,71.63,69.51,71.08,71.08,162960,0.0,1.0
2019-05-02,70.0,72.15,68.495,69.65,69.65,220069,0.0,1.0
2019-05-01,69.48,71.56,69.455,69.93,69.93,281966,0.0,1.0
2019-04-30,68.28,69.71,68.0659,69.31,69.31,211811,0.0,1.0
2019-04-29,68.73,69.09,67.76,68.43,68.43,150310,0.0,1.0
2019-04-26,69.66,69.66,67.85,68.91,68.91,183823,0.0,1.0
2019-04-25,68.98,70.16,66.91,69.63,69.63,161564,0.0,1.0
2019-04-24,70.01,71.5,68.9,69.45,69.45,189060,0.0,1.0
2019-04-23,68.26,70.72,68.26,70.15,70.15,299662,0.0,1.0
2019-04-22,69.65,69.65,67.79,68.11,68.11,186288,0.0,1.0
2019-04-18,67.75,69.68,66.1715,69.57,69.57,239564,0.0,1.0
2019-04-17,67.92,68.29,66.79,68.24,68.24,275250,0.0,1.0
2019-04-16,66.85,67.89,66.56,67.88,67.88,151679,0.0,1.0
2019-04-15,66.97,67.22,65.625,66.84,66.84,203166,0.0,1.0
2019-04-12,67.78,68.0,65.7,66.84,66.84,223810,0.0,1.0
2019-04-11,66.97,68.08,66.58,67.49,67.49,152952,0.0,1.0
2019-04-10,65.5,67.5,65.5,67.12,67.12,301866,0.0,1.0
2019-04-09,66.54,66.61,64.99,65.21,65.21,192505,0.0,1.0
2019-04-08,66.8,66.8,65.17,66.48,66.48,274775,0.0,1.0
2019-04-05,65.85,67.35,65.19,67.11,67.11,479542,0.0,1.0
2019-04-04,62.79,65.34,61.25,65.28,65.28,360484,0.0,1.0
2019-04-03,62.07,63.44,61.91,62.88,62.88,308048,0.0,1.0
2019-04-02,61.57,62.08,60.8,61.74,61.74,220135,0.0,1.0
2019-04-01,60.6,61.65,59.83,61.6,61.6,230137,0.0,1.0
2019-03-29,61.05,62.16,60.105,60.24,60.24,236076,0.0,1.0
2019-03-28,63.55,64.04,59.16,60.54,60.54,470851,0.0,1.0
2019-03-27,61.18,65.1,61.18,63.55,63.55,859329,0.0,1.0
2019-03-26,60.55,61.14,59.06,60.63,60.63,384923,0.0,1.0
2019-03-25,58.24,61.03,57.71,60.7,60.7,450606,0.0,1.0
2019-03-22,55.62,59.17,55.4,58.19,58.19,461412,0.0,1.0
2019-03-21,53.46,56.69,53.46,56.13,56.13,473634,0.0,1.0
2019-03-20,54.38,54.83,52.16,53.32,53.32,839667,0.0,1.0
2019-03-19,57.08,57.5,54.75,54.85,54.85,318031,0.0,1.0
2019-03-18,56.53,57.41,56.09,57.13,57.13,406735,0.0,1.0
2019-03-15,57.91,58.34,56.29,56.49,56.49,528346,0.0,1.0
2019-03-14,58.25,58.54,57.61,57.7,57.7,211546,0.0,1.0
2019-03-13,59.23,59.7,58.16,58.27,58.27,177310,0.0,1.0
2019-03-12,59.34,59.51,58.13,58.86,58.86,145610,0.0,1.0
2019-03-11,58.65,59.57,58.0601,59.17,59.17,295528,0.0,1.0
2019-03-08,58.16,59.79,58.0,58.03,58.03,238923,0.0,1.0
2019-03-07,57.38,59.1,57.38,58.71,58.71,304928,0.0,1.0
2019-03-06,58.29,59.075,57.5,57.71,57.71,302153,0.0,1.0
2019-03-05,58.96,59.11,57.61,58.18,58.18,177230,0.0,1.0
2019-03-04,58.61,59.83,58.18,58.72,58.72,191902,0.0,1.0
2019-03-01,59.44,59.44,57.66,58.43,58.43,397375,0.0,1.0
2019-02-28,58.96,60.03,58.5,59.1,59.1,220256,0.0,1.0
2019-02-27,58.89,59.39,58.0,59.17,59.17,284651,0.0,1.0
2019-02-26,59.4,60.56,56.75,58.52,58.52,689025,0.0,1.0
2019-02-25,62.35,62.82,61.03,61.3,61.3,368329,0.0,1.0
2019-02-22,61.63,62.83,61.15,61.96,61.96,187127,0.0,1.0
2019-02-21,60.49,61.625,59.6937,61.51,61.51,198739,0.0,1.0
2019-02-20,61.87,62.36,60.52,60.81,60.81,287915,0.0,1.0
2019-02-19,60.11,62.07,59.795,61.89,61.89,203583,0.0,1.0
2019-02-15,60.06,60.96,59.51,60.37,60.37,241646,0.0,1.0
2019-02-14,59.81,60.6,59.3,60.0,60.0,243270,0.0,1.0
2019-02-13,60.79,60.79,59.68,60.3,60.3,238342,0.0,1.0
2019-02-12,58.11,61.18,57.85,60.77,60.77,304234,0.0,1.0
2019-02-11,57.47,58.76,56.94,57.8,57.8,240144,0.0,1.0
2019-02-08,57.99,58.4399,57.24,57.39,57.39,342695,0.0,1.0
2019-02-07,57.19,58.45,57.12,58.06,58.06,286373,0.0,1.0
2019-02-06,61.35,61.71,57.08,57.37,57.37,270925,0.0,1.0
2019-02-05,59.95,61.5399,59.49,61.26,61.26,364685,0.0,1.0
2019-02-04,59.85,60.09,58.89,59.93,59.93,405580,0.0,1.0
2019-02-01,59.66,60.37,59.06,60.02,60.02,626181,0.0,1.0
2019-01-31,59.69,60.3,58.72,59.3,59.3,767061,0.0,1.0
2019-01-30,59.87,60.17,58.51,59.38,59.38,256568,0.0,1.0
2019-01-29,57.91,59.84,56.22,59.68,59.68,296621,0.0,1.0
2019-01-28,57.48,59.09,57.4,58.04,58.04,192631,0.0,1.0
2019-01-25,58.19,59.581,57.09,57.94,57.94,244849,0.0,1.0
2019-01-24,56.27,57.65,54.772,57.65,57.65,130148,0.0,1.0
2019-01-23,54.62,56.58,54.6,56.46,56.46,279644,0.0,1.0
2019-01-22,55.25,55.76,53.69,54.38,54.38,426336,0.0,1.0
2019-01-18,56.47,56.98,55.52,55.6,55.6,258175,0.0,1.0
2019-01-17,55.58,56.93,55.39,56.28,56.28,269684,0.0,1.0
2019-01-16,56.8,57.55,55.67,56.13,56.13,188578,0.0,1.0
2019-01-15,56.09,57.22,55.18,57.02,57.02,196748,0.0,1.0
2019-01-14,57.52,57.97,55.5103,56.08,56.08,212877,0.0,1.0
2019-01-11,56.37,58.77,56.37,58.0,58.0,287461,0.0,1.0
2019-01-10,56.92,57.9,56.21,56.58,56.58,310938,0.0,1.0
2019-01-09,55.77,57.763,54.98,57.11,57.11,444317,0.0,1.0
2019-01-08,56.84,57.52,55.25,55.79,55.79,683955,0.0,1.0
2019-01-07,51.53,56.27,51.0259,55.99,55.99,994683,0.0,1.0
2019-01-04,47.51,49.59,47.0001,48.92,48.92,424280,0.0,1.0
2019-01-03,46.27,47.41,45.8,46.74,46.74,289030,0.0,1.0
2019-01-02,44.54,46.83,44.196,46.69,46.69,464862,0.0,1.0
2018-12-31,46.32,46.84,43.645,45.22,45.22,272507,0.0,1.0
2018-12-28,45.55,46.92,44.205,46.29,46.29,320183,0.0,1.0
2018-12-27,43.62,45.49,42.92,45.49,45.49,312040,0.0,1.0
2018-12-26,43.0,44.7,41.44,44.64,44.64,313155,0.0,1.0
2018-12-24,42.52,43.27,41.18,42.81,42.81,525611,0.0,1.0
2018-12-21,44.26,44.87,43.26,43.26,43.26,1269615,0.0,1.0
